freq,amp
113.75,0.004558113
114.375,0.005277815
115.0,0.005837583
115.625,0.009915895
116.25,0.026868876
116.875,0.072130136
117.5,0.21591061
118.125,0.17480762
118.75,0.041742716
119.375,0.008076656
120.0,0.0063173845
120.625,0.003758444
121.25,0.008316557
121.875,0.002958775
122.5,0.0014394041
123.125,0.002159106
123.75,0.004318212
124.375,0.0033586095
125.0,0.0023190398
125.625,0.0067971856
126.25,0.0063173845
126.875,0.0064773182
127.5,0.011755133
128.125,0.014314074
128.75,0.10923477
129.375,0.2586929
130.0,0.15769471
130.625,0.026868876
131.25,0.010395696
131.875,0.0020791392
132.5,0.004558113
133.125,0.005997517
133.75,0.005117881
134.375,0.005037914
135.0,0.0031986758
135.625,0.0015193709
136.25,0.0011195365
136.875,0.0009596027
137.5,0.0015193709
138.125,0.0027988413
138.75,0.0054377485
139.375,0.004318212
140.0,0.00847649
140.625,0.05253825
141.25,0.08836342
141.875,0.040063415
142.5,0.008316557
143.125,0.002159106
143.75,0.004238245
144.375,0.0034385764
145.0,0.00079966895
145.625,0.004238245
146.25,0.0038384108
146.875,0.0023190398
147.5,0.0039983448
148.125,0.0038384108
148.75,0.002159106
149.375,0.00079966895
150.0,0.0039983448
150.625,0.008556457
151.25,0.006157451
151.875,0.01543361
152.5,0.104916565
153.125,0.14873841
153.75,0.058775667
154.375,0.013274504
155.0,0.004478146
155.625,0.0018392386
156.25,0.00031986757
156.875,0.0014394041
157.5,0.0017592716
158.125,0.0014394041
158.75,0.0015993379
159.375,0.0015193709
160.0,0.0036784771
160.625,0.0023190398
161.25,0.005037914
161.875,0.00015993378
162.5,0.0049579474
163.125,0.012394869
163.75,0.06717219
164.375,0.23294356
165.0,0.26117188
165.625,0.0838053
166.25,0.017672684
166.875,0.009995862
167.5,0.0
168.125,0.0015193709
168.75,0.00071970205
169.375,0.0023190398
170.0,0.0030387419
170.625,0.0030387419
171.25,0.0027188743
171.875,0.0013594371
172.5,0.0015993379
173.125,0.00071970205
173.75,0.0019192054
174.375,0.0012794703
175.0,0.01543361
175.625,0.055816893
176.25,0.14929819
176.875,0.14050183
177.5,0.03878394
178.125,0.0079966895
178.75,0.0027188743
179.375,0.00063973514
180.0,0.0014394041
180.625,0.00047980135
181.25,0.0009596027
181.875,0.0025589406
182.5,0.0032786427
183.125,0.00079966895
183.75,0.0026389074
184.375,0.0017592716
185.0,0.00071970205
185.625,0.0031986758
186.25,0.0017592716
186.875,0.008876325
187.5,0.038224176
