t,amp
0.23203125,-1240.0356
0.2322265625,-1239.9596
0.232421875,-1239.5796
0.2326171875,-1239.6556
0.2328125,-1240.1877
0.2330078125,-1240.2637
0.233203125,-1240.3397
0.2333984375,-1240.8339
0.23359375,-1240.9479
0.2337890625,-1240.7958
0.233984375,-1240.7198
0.2341796875,-1240.2257
0.234375,-1239.5415
0.2345703125,-1239.7316
0.234765625,-1239.7697
0.2349609375,-1239.2375
0.23515625,-1239.1615
0.2353515625,-1239.5796
0.235546875,-1239.6556
0.2357421875,-1239.3516
0.2359375,-1239.5796
0.2361328125,-1239.9596
0.236328125,-1239.7316
0.2365234375,-1239.1995
0.23671875,-1239.3135
0.2369140625,-1239.4275
0.237109375,-1239.1995
0.2373046875,-1239.1995
0.2375,-1238.9335
0.2376953125,-1238.5533
0.237890625,-1238.5533
0.2380859375,-1238.5533
0.23828125,-1237.9833
0.2384765625,-1237.7552
0.238671875,-1238.1353
0.2388671875,-1237.9072
0.2390625,-1237.4131
0.2392578125,-1237.6412
0.239453125,-1237.8312
0.2396484375,-1237.6792
0.23984375,-1237.8312
0.2400390625,-1237.9452
0.240234375,-1238.0212
0.2404296875,-1238.1733
0.240625,-1238.2874
0.2408203125,-1237.9833
0.241015625,-1237.6792
0.2412109375,-1237.9833
0.24140625,-1238.0973
0.2416015625,-1237.7172
0.241796875,-1237.6792
0.2419921875,-1238.2113
0.2421875,-1238.4773
0.2423828125,-1238.5914
0.242578125,-1238.8195
0.2427734375,-1239.3895
0.24296875,-1239.4656
0.2431640625,-1239.5415
0.243359375,-1239.9216
0.2435546875,-1239.7697
0.24375,-1239.9977
0.2439453125,-1240.5298
0.244140625,-1240.4537
0.2443359375,-1240.2257
0.24453125,-1240.6818
0.2447265625,-1241.0238
0.244921875,-1240.7198
0.2451171875,-1240.6438
0.2453125,-1241.0619
0.2455078125,-1241.1759
0.245703125,-1240.9479
0.2458984375,-1240.8718
0.24609375,-1240.7958
0.2462890625,-1240.7198
0.246484375,-1240.6438
0.2466796875,-1240.6058
0.246875,-1240.2257
0.2470703125,-1239.9977
0.247265625,-1240.2637
0.2474609375,-1240.1877
0.24765625,-1239.9977
0.2478515625,-1240.1877
0.248046875,-1240.7958
0.2482421875,-1240.7198
0.2484375,-1240.2257
0.2486328125,-1240.1117
0.248828125,-1239.9977
0.2490234375,-1239.3895
0.24921875,-1238.8954
0.2494140625,-1238.7814
0.249609375,-1238.7054
0.2498046875,-1239.0094
0.25,-1239.2375
0.2501953125,-1239.3516
0.250390625,-1239.5035
0.2505859375,-1239.8456
0.25078125,-1239.9596
0.2509765625,-1239.6936
0.251171875,-1239.6556
0.2513671875,-1240.1117
0.2515625,-1240.3018
0.2517578125,-1239.7697
0.251953125,-1239.7697
0.2521484375,-1239.9596
0.25234375,-1239.8837
0.2525390625,-1239.7697
0.252734375,-1239.7697
0.2529296875,-1239.5415
0.253125,-1239.4275
0.2533203125,-1239.8837
0.253515625,-1239.6936
0.2537109375,-1239.2755
0.25390625,-1239.3895
0.2541015625,-1239.7697
0.254296875,-1239.6556
0.2544921875,-1239.8076
0.2546875,-1240.2257
0.2548828125,-1240.2637
0.255078125,-1240.4158
0.2552734375,-1240.4158
0.25546875,-1240.0736
0.2556640625,-1239.7316
0.255859375,-1240.0356
0.2560546875,-1240.0356
0.25625,-1239.4656
0.2564453125,-1239.5796
0.256640625,-1240.1117
0.2568359375,-1240.2257
0.25703125,-1240.1497
0.2572265625,-1240.4917
0.257421875,-1240.7958
0.2576171875,-1240.6818
0.2578125,-1240.6438
0.2580078125,-1240.7578
0.258203125,-1240.7198
0.2583984375,-1240.7198
0.25859375,-1240.8339
0.2587890625,-1240.6818
0.258984375,-1240.6818
0.2591796875,-1241.0619
0.259375,-1241.0238
0.2595703125,-1240.5298
0.259765625,-1240.7958
0.2599609375,-1241.0238
0.26015625,-1240.3777
0.2603515625,-1239.8837
0.260546875,-1240.0356
0.2607421875,-1240.1117
0.2609375,-1239.8076
0.2611328125,-1239.8456
0.261328125,-1239.9596
0.2615234375,-1239.9216
0.26171875,-1240.1117
0.2619140625,-1240.1497
0.262109375,-1239.9216
0.2623046875,-1240.1877
0.2625,-1240.4537
0.2626953125,-1240.2257
0.262890625,-1240.2257
0.2630859375,-1240.5677
0.26328125,-1240.4537
0.2634765625,-1239.8456
0.263671875,-1239.4275
0.2638671875,-1239.5796
0.2640625,-1239.2755
0.2642578125,-1238.5154
0.264453125,-1238.3633
0.2646484375,-1238.3253
0.26484375,-1237.9833
0.2650390625,-1237.8693
0.265234375,-1237.9452
0.2654296875,-1237.7932
0.265625,-1237.7172
0.2658203125,-1237.5652
0.266015625,-1237.071
0.2662109375,-1236.9191
0.26640625,-1237.185
0.2666015625,-1236.767
0.266796875,-1236.273
0.2669921875,-1236.805
0.2671875,-1236.805
0.2673828125,-1236.501
0.267578125,-1236.577
0.2677734375,-1236.767
0.26796875,-1236.615
0.2681640625,-1236.539
0.268359375,-1236.729
0.2685546875,-1236.653
0.26875,-1236.691
0.2689453125,-1236.767
0.269140625,-1236.653
0.2693359375,-1236.691
0.26953125,-1237.2231
0.2697265625,-1237.2231
0.269921875,-1236.805
0.2701171875,-1237.1471
0.2703125,-1237.3751
0.2705078125,-1237.1471
0.270703125,-1237.071
0.2708984375,-1237.6412
0.27109375,-1238.0593
0.2712890625,-1238.0973
0.271484375,-1238.5154
0.2716796875,-1238.9714
0.271875,-1239.0854
0.2720703125,-1239.0854
0.272265625,-1239.1615
0.2724609375,-1239.2375
0.27265625,-1239.3516
0.2728515625,-1239.6176
0.273046875,-1239.5796
0.2732421875,-1239.3135
0.2734375,-1239.3895
0.2736328125,-1239.5796
0.273828125,-1239.1235
0.2740234375,-1238.7434
0.27421875,-1239.0854
0.2744140625,-1239.3135
0.274609375,-1239.0854
0.2748046875,-1239.2755
0.275,-1239.7316
0.2751953125,-1239.5796
0.275390625,-1239.4656
0.2755859375,-1239.3516
0.27578125,-1239.0854
0.2759765625,-1238.9714
0.276171875,-1239.0854
